iter	Passed	Remaining
0	134	134776
1	138	69092
2	142	47349
3	146	36399
4	149	29806
5	153	25382
6	156	22173
7	159	19773
8	162	17898
9	166	16458
10	169	15223
11	172	14169
12	174	13281
13	178	12543
14	181	11912
15	184	11339
16	187	10838
17	190	10394
18	193	10007
19	196	9649
20	200	9367
21	204	9076
22	207	8834
23	211	8583
24	214	8355
25	217	8132
26	220	7960
27	224	7798
28	227	7621
29	230	7459
30	233	7307
31	237	7171
32	240	7039
33	244	6944
34	247	6832
35	251	6729
36	254	6629
37	257	6524
38	260	6430
39	263	6333
40	267	6247
41	270	6158
42	272	6074
43	276	6000
44	279	5925
45	282	5868
46	286	5803
47	289	5739
48	292	5677
49	295	5618
50	298	5559
51	302	5509
52	305	5455
53	308	5409
54	311	5352
55	314	5303
56	317	5249
57	320	5203
58	323	5156
59	326	5117
60	330	5081
61	333	5047
62	336	5009
63	340	4983
64	344	4951
65	347	4919
66	350	4881
67	353	4848
68	356	4815
69	360	4784
70	364	4763
71	367	4736
72	370	4704
73	373	4674
74	376	4643
75	379	4618
76	383	4591
77	386	4566
78	389	4545
79	393	4524
80	397	4506
81	400	4485
82	404	4473
83	408	4450
84	411	4434
85	415	4413
86	418	4389
87	421	4365
88	423	4338
89	427	4320
90	430	4301
91	434	4284
92	437	4264
93	440	4244
94	443	4223
95	446	4203
96	449	4183
97	452	4163
98	455	4148
99	458	4128
100	462	4113
101	465	4096
102	468	4082
103	471	4066
104	476	4062
105	480	4050
106	484	4043
107	488	4037
108	492	4028
109	496	4020
110	501	4014
111	505	4006
112	509	3997
113	512	3980
114	515	3968
115	519	3957
116	522	3942
117	525	3928
118	529	3918
119	532	3907
120	536	3895
121	539	3883
122	542	3869
123	545	3853
124	548	3842
125	551	3827
126	555	3815
127	557	3801
128	561	3788
129	564	3775
130	567	3767
131	571	3756
132	574	3747
133	578	3735
134	581	3724
135	584	3712
136	587	3701
137	590	3689
138	594	3680
139	597	3670
140	602	3671
141	624	3772
142	643	3856
143	661	3932
144	682	4027
145	706	4130
146	726	4212
147	747	4305
148	765	4371
149	781	4429
150	801	4504
151	815	4548
152	829	4593
153	844	4640
154	862	4704
155	878	4754
156	897	4817
157	915	4876
158	930	4922
159	950	4988
160	967	5044
161	984	5090
162	1004	5157
163	1022	5214
164	1039	5260
165	1055	5303
166	1072	5351
167	1092	5408
168	1107	5444
169	1123	5484
170	1138	5519
171	1156	5566
172	1172	5606
173	1187	5638
174	1200	5660
175	1216	5695
176	1232	5730
177	1248	5764
178	1264	5801
179	1280	5831
180	1299	5881
181	1317	5921
182	1333	5954
183	1349	5984
184	1366	6019
185	1389	6079
186	1406	6114
187	1425	6155
188	1440	6183
189	1458	6218
190	1476	6255
191	1492	6279
192	1508	6307
193	1523	6329
194	1538	6352
195	1555	6382
196	1573	6412
197	1588	6433
198	1604	6459
199	1622	6489
200	1640	6519
201	1655	6541
202	1674	6573
203	1691	6601
204	1709	6628
205	1726	6653
206	1742	6677
207	1758	6694
208	1776	6724
209	1792	6743
210	1811	6772
211	1827	6793
212	1846	6823
213	1864	6847
214	1880	6866
215	1897	6886
216	1914	6907
217	1929	6922
218	1946	6941
219	1969	6982
220	1987	7006
221	2008	7037
222	2026	7062
223	2043	7080
224	2060	7096
225	2077	7114
226	2094	7132
227	2112	7152
228	2130	7172
229	2145	7182
230	2161	7194
231	2177	7207
232	2194	7223
233	2211	7240
234	2228	7253
235	2244	7265
236	2259	7274
237	2276	7287
238	2292	7299
239	2310	7316
240	2329	7336
241	2349	7359
242	2367	7375
243	2392	7412
244	2411	7431
245	2431	7453
246	2450	7470
247	2470	7491
248	2488	7504
249	2507	7523
250	2524	7534
251	2542	7545
252	2559	7556
253	2574	7560
254	2595	7584
255	2627	7636
256	2653	7671
257	2682	7713
258	2701	7728
259	2717	7735
260	2735	7745
261	2759	7772
262	2781	7793
263	2801	7809
264	2822	7827
265	2842	7842
266	2867	7872
267	2886	7883
268	2904	7893
269	2926	7911
270	2943	7918
271	2960	7922
272	2978	7930
273	2994	7934
274	3011	7939
275	3029	7946
276	3048	7957
277	3075	7987
278	3103	8019
279	3122	8030
280	3141	8038
281	3159	8044
282	3178	8052
283	3197	8062
284	3213	8062
285	3230	8065
286	3246	8064
287	3262	8065
288	3277	8063
289	3292	8061
290	3307	8058
291	3323	8059
292	3346	8075
293	3364	8078
294	3383	8085
295	3401	8091
296	3424	8106
297	3449	8126
298	3469	8133
299	3491	8145
300	3519	8173
301	3543	8190
302	3563	8196
303	3583	8203
304	3603	8211
305	3630	8234
306	3654	8249
307	3673	8253
308	3708	8293
309	3737	8318
310	3765	8341
311	3798	8377
312	3816	8376
313	3837	8384
314	3856	8386
315	3883	8405
316	3906	8416
317	3926	8420
318	3949	8430
319	3970	8436
320	3988	8436
321	4008	8439
322	4028	8442
323	4048	8447
324	4068	8450
325	4086	8448
326	4106	8451
327	4127	8457
328	4147	8458
329	4166	8458
330	4184	8458
331	4204	8459
332	4225	8463
333	4246	8468
334	4267	8470
335	4294	8486
336	4315	8490
337	4336	8492
338	4357	8496
339	4378	8499
340	4396	8496
341	4418	8500
342	4438	8501
343	4464	8514
344	4487	8519
345	4508	8521
346	4530	8526
347	4548	8522
348	4567	8519
349	4584	8514
350	4605	8515
351	4630	8523
352	4647	8517
353	4665	8514
354	4687	8516
355	4708	8517
356	4730	8519
357	4748	8515
358	4768	8513
359	4789	8515
360	4810	8515
361	4838	8527
